first_year_payment,yearly_payments,down_payment,adjusted_price,lat,lon,price,usage,style
426731,82134,344597,1378390,42.320283,-71.092473,1110000,CONDOMINIUM,FREE-STANDNG
414138,73452,340686,1265202,42.332383,-71.099961,895000,3-FAM RES,DECKER
760501,154156,606345,2546647,42.328277,-71.057042,2100000,4-8 UNIT APT,CONDO/APT
412144,112004,300140,1709891,42.292882,-71.062372,1410000,OTHER EXEMPT,CONDO/APT
490930,118392,372538,1862690,42.330032,-71.100501,1500000,2-FAM RES,CONVENTIONAL
323787,44395,279392,838175,42.330032,-71.100501,600000,2-FAM RES,CONVENTIONAL
1130273,272575,857698,4288487,42.342097,-71.082644,3600000,4-8 UNIT APT,ROW-MIDDLE
444472,107188,337284,1686419,42.341755,-71.079273,1500000,CONDOMINIUM,ROW-MIDDLE
150827,36373,114454,572267,42.318921,-71.055987,390000,3-FAM RES,DECKER
47676,32517,15159,424441,42.266536,-71.114047,350000,1-FAM RES,CAPE COD
325946,78604,247342,1236708,42.319716,-71.064326,1100000,3-FAM RES,DECKER
272674,65757,206917,1034582,42.28747,-71.077969,816000,2-FAM RES,CONVENTIONAL
954152,230102,724050,3620250,42.351876,-71.08315,2400000,9 + UNIT APT,CONDO/APT
216925,33925,183000,609999,42.306498,-71.062699,467000,3-FAM RES,DECKER
170952,41226,129726,648628,42.306498,-71.062699,430000,3-FAM RES,DECKER
194658,46943,147715,738572,42.367057,-71.038597,620000,1-FAM RES,SEMI DETACHD
59730,14404,45326,226627,42.314987,-71.08193,182500,CONDOMINIUM,SEMI DETACHD
71932,17347,54585,272925,42.313008,-71.102167,212500,MXU RES+COM,SEMI DETACHD
26207,6320,19887,99435,42.302576,-71.06683,75000,1-FAM RES,COLONIAL
305264,73617,231647,1158233,42.36634,-71.032696,1030200,4-8 UNIT APT,CONDO/APT
214950,51837,163113,815564,42.36634,-71.032696,635000,4-8 UNIT APT,CONDO/APT
52637,12693,39944,199716,42.266851,-71.112281,155500,1-FAM RES,CAPE COD
313965,75715,238250,1191246,42.285525,-71.145845,1000000,3-FAM RES,DECKER
77934,18794,59140,295696,42.325899,-71.082588,230000,1-FAM RES,ROW-MIDDLE
183280,44199,139081,695404,42.328193,-71.07933,560000,3-FAM RES,ROW-END
221772,42685,179087,716347,42.334859,-71.046602,565000,2-FAM RES,TWO FAMILY
559328,134887,424441,2122205,42.35712,-71.071928,1750000,CONDOMINIUM,MID-RISE
423852,102215,321637,1608182,42.374822,-71.063094,1350000,MXU RES+COM,SEMI DETACHD
168306,40588,127718,638588,42.350857,-71.133695,542500,CONDOMINIUM,LOW-RISE
52366,12628,39738,198686,42.270661,-71.094635,160000,1-FAM RES,BNGL/COTTAGE
97839,23594,74245,371224,42.329652,-71.086379,280000,COM DEV LAND,CONDO/APT
645277,155614,489663,2448311,42.341258,-71.077878,1725000,2-FAM RES,ROW-MIDDLE
85388,20592,64796,323980,42.292474,-71.054165,252000,2-FAM RES,CONVENTIONAL
160737,38763,121974,609868,42.286688,-71.077956,460000,3-FAM RES,DECKER
210383,50735,159648,798238,42.281952,-71.089137,710000,3-FAM RES,DECKER
205531,32143,173388,577959,42.3552,-71.126413,450000,1-FAM RES,CONVENTIONAL
1624966,107188,1517778,2866914,42.341128,-71.081361,2550000,4-8 UNIT APT,CONDO/APT
1050412,253316,797096,3985477,42.364087,-71.056446,3100000,9 + UNIT APT,CONDO/APT
42098,10152,31946,159729,42.317768,-71.073476,118000,1-FAM RES,COLONIAL
346985,83678,263307,1316531,42.351936,-71.169281,1171000,2-FAM RES,CONVENTIONAL
72196,17410,54786,273927,42.287997,-71.080119,193000,3-FAM RES,DECKER
4099995,988751,3111244,15556219,42.348951,-71.130359,12100000,9 + UNIT APT,CONDO/APT
82476,19889,62587,312931,42.275233,-71.127048,252000,1-FAM RES,COLONIAL
918577,221523,697054,3485267,42.35531,-71.073021,3100000,CONDOMINIUM,MID-RISE
1885735,454762,1430973,7154865,42.346046,-71.083886,5900000,CONDOMINIUM,HIGH-RISE
